task,decision_prompt,answer_type,answer
"A person carries heterotopic autosomes without phenotypic effects. If they mate with a normal individual, the survival rate of their offspring is: ____ . If they mate with another individual carrying the same type of chromosomal variation, the survival rate of their offspring is: ____.
Options:
A. $\frac{1}{3}, \frac{1}{5}$
B. All other answers are incorrect
C. $\frac{3}{4}, \frac{3}{8}$
D. $\frac{1}{2}, \frac{1}{3}$
E. $\frac{1}{2}, \frac{1}{4}$
F. $\frac{4}{7}, \frac{2}{5}$","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,E
"his $^{-}$ and lys ${ }^{-}$ are two alleles discovered in beer yeast. To grow normally, histidine and lysine must be added to the basic medium, respectively. A cross was made between his ${ }^{-} \mathrm{lys}^{-}$ and his ${ }^{+}$lys ${ }^{+}$, and 818 tetrads were analyzed, yielding the following results: First type of tetrad: $2 \mathrm{his}^{-} \mathrm{lys}^{+}+2 \mathrm{his}^{+} \mathrm{lys}^{-}=4$; Second type of tetrad: 2 his $^{-} \mathrm{lys}^{-}+2$ his $^{+}\mathrm{lys}^{+}=502$; Third type of tetrad: $1 \mathrm{his} ^{-} \mathrm{lys}^{-}+1 \mathrm{his}^{-} \mathrm{lys}^{+}+1 \mathrm{his}^{+}\mathrm{lys}^{-}+1 \mathrm{his}^{+}{\mathrm{lys}}{ }^{+}=312$. What is the single crossover frequency between the two loci?
Options:
A. 0.204
B. 0.188
C. 0.193
D. 0.196
E. 0.202
F. All other answers are incorrect","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,D
"In fruit flies, red eyes (D) are dominant to white eyes (d) and are located on the X chromosome. Gray body (B) is dominant to black body (b), and long wings (V) are dominant to vestigial wings (v) (these two genes are located on the same chromosome). A heterozygous red-eyed, gray-bodied, long-winged female fruit fly is crossed with a white-eyed, black-bodied, vestigial-winged male fruit fly. It is known that in the F1 generation, the ratio of gray-bodied long-winged : black-bodied vestigial-winged : black-bodied long-winged : gray-bodied vestigial-winged is $=42: 42: 8: 8$. Out of 400 F1 offspring, how many red-eyed, black-bodied, long-winged male fruit flies are theoretically expected?
Options:
A. 6
B. 10
C. 12
D. 4
E. 14
F. All other answers are incorrect","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,F
"The following are the co-transduction frequencies of some genes:

Co-transduction frequency of A and B: 0.3;
Co-transduction frequency of B and C: 0.2;
Co-transduction frequency of A and C: 0.05.
Calculate the distances between the genes.
Options:
A. RF(A-B) = 0.673, RF(B-C) = 0.83, RF(A-C) = 1.25
B. RF(A-B) = 0.661, RF(B-C) = 0.81, RF(A-C) = 1.34
C. RF(A-B) = 0.654, RF(B-C) = 0.79, RF(A-C) = 1.27
D. All other answers are incorrect
E. RF(A-B) = 0.662, RF(B-C) = 0.82, RF(A-C) = 1.26
F. RF(A-B) = 0.667, RF(B-C) = 0.85, RF(A-C) = 1.29","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,E
"Assume there are two pairs of genes, each with two alleles: AaBb determines plant height in an additive manner. The homozygous AABB plant is 50 cm tall, and the homozygous aabb plant is 30 cm tall. What proportion of the $\mathrm{F}_2$ generation will be 40 cm tall?
Options:
A. $\frac{1}{4}$
B. All other answers are incorrect
C. $\frac{2}{8}$
D. $\frac{3}{8}$
E. $\frac{1}{3}$
F. $\frac{7}{16}$","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,D
"The average heights of two varieties of corn are 48 cm and 72 cm, respectively. The average height of the $\mathrm{~F}_1$ generation is 60 cm. In the $\mathrm{~F}_2$ generation, there are 3100 plants, with the shortest height being 36 cm (4 plants) and the tallest height being 84 cm (2 plants). How many pairs of genes are involved, and what is the effect value of each dominant gene?
Options:
A. 6, 5.0cm
B. 4, 4.5cm
C. 7, 5.5cm
D. 5, 4.8cm
E. All other answers are incorrect
F. 6, 4.6cm","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,D
"The average weight of the Flemish rabbit breed is 3600 g, and the average weight of the Hima - layan rabbit breed is 1875 g. Crossing the two breeds produces an intermediate-sized $\mathrm{F}_1$ generation with a standard deviation of 162 g. The $\mathrm{F}_2$ generation exhibits greater variability, with a standard deviation of 230 g. Estimate the average contribution of each effective allele.
Options:
A. All other answers are incorrect
B. 63.20g
C. 61.61g
D. 64.38g
E. 57.65g
F. 62.45g","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,C
"A species of snail has shell color controlled by multiple alleles: brown ( $\mathrm{C}^{\mathrm{B}}$ ) is dominant to pink ( $\mathrm{C}^{\mathrm{P}}$ ), and pink ( $\mathrm{C}^{\mathrm{P}}$ ) is dominant to yellow ( $\left(\mathrm{C}^{\mathrm{Y}}\right)$ ). Yellow ( $\left(\mathrm{C}^{\mathrm{Y}}\right)$ ) is recessive to both pink ($\mathrm{C}^{\mathrm{P}}$ ) and brown ( $\mathrm{C}^{\mathrm{B}}$ ). In a population, there are 236 brown snails, 231 pink snails, and 33 yellow snails, totaling 500 snails. Assuming this population is in Hardy-Weinberg equilibrium, what are the allele frequencies of $\left(\mathrm{C}^{\mathrm{B}}\right)$ ，$\left(\mathrm{C}^{\mathrm{P}}\right)$ and $\left(\mathrm{C}^{\mathrm{Y}}\right)$?
Options:
A. $C^{Y}: 0.260$, $C^{P}: 0.472$, $C^{B}: 0.268$
B. All other answers are incorrect
C. $C^{Y}: 0.265$, $C^{P}: 0.460$, $C^{B}: 0.275$
D. $C^{Y}: 0.250$, $C^{P}: 0.468$, $C^{B}: 0.282$
E. $C^{Y}: 0.257$, $C^{P}: 0.47$, $C^{B}: 0.273$
F. $C^{Y}: 0.253$, $C^{P}: 0.469$, $C^{B}: 0.278$","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,E
"In a population, approximately  $8 \%$ of males are red-green colorblind (a sex-linked recessive trait). In a randomly mating population, what proportion of individuals with normal vision is expected after 2 generations?
Options:
A. 0.9568
B. 0.9458
C. 0.9601
D. 0.9542
E. 0.9495
F. All other answers are incorrect","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,A
"In a large population of cattle, red (RR) individuals account for $49 \%$, roan (Rr) individuals account for $42 \%$ and white (rr) individuals account for  $9 \%. What proportion of gametes produced by the parental generation in this population carry the r allele?
Options:
A. 0.25
B. 0.38
C. 0.3
D. All other answers are incorrect
E. 0.37
F. 0.39","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,C
"In the cardiac cycle, the S-A node depolarizes at time zero. Which of the following could be the delay time when the action potential reaches the left ventricular wall?
Options:
A. 0.14 \mathrm{~s}
B. 0.22 \mathrm{~s}
C. All other answers are incorrect
D. 0.13 \mathrm{~s}
E. 0.20 \mathrm{~s}
F. 0.08 \mathrm{~s}","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,E
"Find the cubic best uniform approximation polynomial of $f(x)=x^4+3 x^3-1$ on the interval $[0,1]$.
Options:
A. $5 x^3-\frac{5}{3} x^2+\frac{1}{4} x-\frac{129}{128}$
B. All other answers are incorrect
C. $5 x^3-\frac{3}{4} x^2+\frac{1}{5} x-\frac{130}{128}$
D. $5 x^3-\frac{5}{4} x^2+\frac{2}{4} x-\frac{130}{129}$
E. $4.9 x^3-\frac{5}{4} x^2+\frac{1}{4} x-\frac{128}{127}$
F. $5 x^3-\frac{5}{4} x^2+\frac{1}{4} x-\frac{129}{128}$","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,F
"For $f(x)=|x|$, find the best square approximation polynomial on the interval $[-1,1]$ with respect to $\Phi=\operatorname{span}\left\{1, x^2, x^4\right\}$.
Options:
A. $\frac{14}{128} + \frac{110}{64}x^2 - \frac{100}{128}x^4$
B. All other answers are incorrect
C. $\frac{15}{130} + \frac{100}{63}x^2 - \frac{105}{125}x^4$
D. $\frac{13}{128} + \frac{105}{60}x^2 - \frac{108}{128}x^4$
E. $\frac{15}{128} + \frac{105}{64}x^2 - \frac{105}{128}x^4$
F. $\frac{15}{125} + \frac{108}{64}x^2 - \frac{108}{130}x^4$","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,E
"Given the difference equation describing a discrete system as $y(k+2)+0.5 y(k+1)-0.5 y(k)=x(k+2)-2 x(k+1)$, find the unit impulse response  $h(k)$ of the system.
Options:
A. $[2(-1)^k-0.5(0.5)^k] u(k)$
B. $[2(-1)^k+(0.6)^k] u(k)$
C. All other answers are incorrect
D. $[2(-1)^k-(0.4)^k] u(k)$
E. $[3(-1)^k-(0.5)^k] u(k)$
F. $[2(-1)^k-(0.7)^k] u(k)$","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,C
"The open-loop frequency response of an operational amplifier (op-amp) is given by:
$$
\dot{A}_v=\frac{10^5}{\left(1+\mathrm{j} \frac{f}{f_{\mathrm{H} 1}}\right)\left(1+\mathrm{j} \frac{f}{f_{\mathrm{H} 2}}\right)\left(1+\mathrm{j} \frac{f}{f_{\mathrm{H} 3}}\right)}
$$,
where  $f_{\mathrm{H} 1}=1 \mathrm{MHz}, f_{\mathrm{H} 2}=10 \mathrm{MHz}, f_{\mathrm{H} 3}=50 \mathrm{MHz}$. If this op-amp is used to construct a resistive negative feedback amplifier circuit, and a phase margin of $45^{\circ}$ is required, what is the maximum loop gain of this amplifier circuit?
Options:
A. All other answers are incorrect
B. 20dB
C. 15dB
D. 19.5dB
E. 17.5dB
F. 18dB","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,F
"Air enters a converging nozzle with an inlet pressure $P_1=1.5 \times 10^{\circ} \mathrm{Pa}$, specific volume $V_1=0.065 \mathrm{~m} / \mathrm{kg}$, and velocity $V G \approx 0$. The pressure at the nozzle exit is $P_2=0.8 \times 10^6 \mathrm{~Pa}$, and the exit cross-sectional area is  $A_e=14 \mathrm{~cm}^2$. Given that the gas constant for air is  $R=287 \mathrm{~J} /(\mathrm{kg} \cdot \mathrm{k})$ and the specific heat ratio is  $\mathrm{K}=1.4$, determine:
1.
The specific volume $\mathrm{V}_2$ and temperature $T_2(2)$ at the nozzle exit.
2.
The velocity  $V_{C 2}$ of the air at the outlet cross-section.
Options:
A. (1)285.0k (2)328.0m/s
B. (1)284.3k (2)333.6m/s
C. (1)286.0k (2)330.0m/s
D. All other answers are incorrect
E. (1)280.0k (2)340.0m/s
F. (1)288.0k (2)329.0m/s","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,B
"The exhaust gas from a gas turbine flows at a rate of $1.20 \mathrm{~kg} / \mathrm{s}$ with a temperature of $\mathrm{T}_1=576 \mathrm{~K}$. It is discharged at constant pressure into an environment with a temperature of $\mathrm{T}_0=283 \mathrm{~K}$. Assume the exhaust $\mathrm{C}_p=1.021 \mathrm{KJ} /(\mathrm{kg} \cdot \mathrm{k})$. Determine the available energy (exergy) and unavailable energy (anergy) in the exhaust heat of the gas turbine per hour.
Options:
A. All other answers are incorrect
B. $-405345.2 \mathrm{KJ} / \mathrm{h}$;$- 886995.8 \mathrm{KJ} / \mathrm{h}$
C. $-405500.0 \mathrm{KJ} / \mathrm{h}$;$- 887050.3 \mathrm{KJ} / \mathrm{h}$
D. $-404800.4 \mathrm{KJ} / \mathrm{h}$;$- 887200.8 \mathrm{KJ} / \mathrm{h}$
E. $-405200.6 \mathrm{KJ} / \mathrm{h}$;$- 886800.1 \mathrm{KJ} / \mathrm{h}$
F. $-405100.9 \mathrm{KJ} / \mathrm{h}$;$- 886950.4 \mathrm{KJ} / \mathrm{h}$","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,B
"A gas storage tank is filled with compressed air from a main supply pipe, where the parameters of the compressed air remain constant at $500 \mathrm{kPa}, 25^{\circ} \mathrm{C}$. At the start of the filling process, the air inside the tank has parameters of$100 \mathrm{kPa}, 25^{\circ} \mathrm{C}$. Determine the temperature of the air inside the tank at the end of the filling process. Assume the filling process occurs under adiabatic conditions.
Options:
A. 400.5k
B. 395.2k
C. All other answers are incorrect
D. 390.6k
E. 394.4k
F. 401.3k","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,C
"Air is compressed isentropically from its initial state 1, $t_1=20^{\circ} \mathrm{C}$, to one-third of its initial volume. It then undergoes isothermal expansion, returning to its original volume after these two processes. Determine the work done by 1 kg of air.
Options:
A. $29.7 \mathrm{~kJ} / \mathrm{kg}$
B. $27.4 \mathrm{~kJ} / \mathrm{kg}$
C. $30.2 \mathrm{~kJ} / \mathrm{kg}$
D. $28.1 \mathrm{~kJ} / \mathrm{kg}$
E. All other answers are incorrect
F. $31.0 \mathrm{~kJ} / \mathrm{kg}$","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,B
"A cylinder contains  $0.5 \mathrm{~kg}, ~ \mathrm{t}=120^{\circ} \mathrm{C}$. The steam is cooled at constant volume until its temperature reaches $80^{\circ} \mathrm{C}$. Determine the amount of heat released by the steam during this cooling process.
Options:
A. 801kJ
B. 820kJ
C. All other answers are incorrect
D. 830kJ
E. 812kJ
F. 817kJ","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,F
"Air flows through a nozzle undergoing isentropic flow. The parameters of the air at the inlet are $\mathrm{p} 1=0.7 \mathrm{MPa}, \mathrm{t}=$ $947^{\circ} \mathrm{C}, \mathrm{c} 1=0 \mathrm{~m} / \mathrm{s}$. The pressure at the nozzle exit, p 2, is either 0.5MPa or 0.12MPa, with a mass flow rate of  $\dot{m}=0.5 \mathrm{~kg} / \mathrm{s}$ in both cases. Calculate the cross-sectional area of the nozzle exit.
Options:
A. All other answers are incorrect
B. 9.8 $cm^2$
C. 8.3 $cm^2$
D. 7.9 $cm^2$
E. 9.7 $cm^2$
F. 8.9 $cm^2$","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,F
"A gas with $\mathrm{p} _1=1 \mathrm{MPa}, \mathbf{t} _1=1000 \mathrm{~K}$ flows through a converging-diverging nozzle. The pressure at the nozzle exit $\mathrm{p} _2=0.1 \mathrm{MPa}$, the inlet velocity $\mathrm{c} _1=200 \mathrm{~m} / \mathrm{s}$, the nozzle efficiency $\eta=0.95$, the mass flow rate of the gas $\dot{m}=50 \mathrm{~kg} / \mathrm{s}$, the specific heat ratio of the gas $\mathrm{k}=1.36$, and the constant-pressure specific heat$\mathrm{c}_p=1 \mathrm{~kJ} /(\mathrm{kg} . \mathrm{K})$. Determine the cross-sectional areas of the nozzle throat and exit.
Options:
A. 375 $cm^2$;810 $cm^2$
B. 388 $cm^2$;800 $cm^2$
C. 370 $cm^2$;795 $cm^2$
D. All other answers are incorrect
E. 390 $cm^2$;820 $cm^2$
F. 380 $cm^2$;805 $cm^2$","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,F
"In a regenerative cycle, the fresh steam pressure is 10 MPa and the temperature is $400^{\circ} \mathrm{C}$. The condenser pressure is 50kPa. The condensate is heated in a mixing-type regenerator by extraction steam at 2MPa until it reaches the saturation temperature at the extraction pressure, and then it is returned to the boiler via a feedwater pump. Neglecting the work consumed by the pump and other losses, calculate the thermal efficiency of the cycle.
Options:
A. 0.375
B. 0.442
C. 0.3
D. 0.34
E. All other answers are incorrect
F. 0.35","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,E
"The dipole moment of the $\mathrm{H}_2 \mathrm{S}$molecule is  $3.67 \times 10^{-30} \mathrm{C} \cdot \mathrm{m}$. The bond length of the $\mathrm{H}-\mathrm{S}$ bond is  $1.33 \AA$, and the bond angle $(\angle \mathrm{HSH})$ is $92^{\circ}$. Determine the apparent charge on the sulfur (S) atom in this molecule.
Options:
A. All other answers are incorrect
B. -0.17e
C. -0.20e
D. -0.34e
E. -0.18e
F. -0.32e","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,A
"Determine the parameters $A_0, x_1, A_1$ in the quadrature formula $\int_0^1 f(x) d x \approx A_0 f(0)+\frac{2}{3} f\left(x_1\right)+A_1 f(1)$,
such that the algebraic precision is as high as possible. Also, specify the algebraic precision of the determined quadrature formula.
Options:
A. $A_0=\frac{1}{5};x_1=\frac{3}{7};A_1=\frac{1}{5};2$
B. $A_0=\frac{1}{4};x_1=\frac{2}{5};A_1=\frac{1}{3};3$
C. All other answers are incorrect
D. $A_0=\frac{1}{8};x_1=\frac{2}{3};A_1=\frac{1}{7};4$
E. $A_0=\frac{1}{6};x_1=\frac{1}{2};A_1=\frac{1}{6};3$
F. $A_0=\frac{2}{5};x_1=\frac{1}{6};A_1=\frac{2}{5};3$","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,E
"Find the best square approximation polynomial of $f(x)=\sqrt{x}$ on $\left[\frac{1}{4}, 1\right]$ in $\Phi=\operatorname{span}\{1, x\}$ with respect to $\rho(x)=1$.
Options:
A. $p_1^*(x)=\frac{11}{27}+\frac{88}{135} x$
B. $p_1^*(x)=\frac{10}{27}+\frac{88}{135} x$
C. $p_1^*(x)=\frac{10}{28}+\frac{88}{135} x$
D. $p_1^*(x)=\frac{11}{27}+\frac{87}{135} x$
E. $p_1^*(x)=\frac{9}{27}+\frac{90}{135} x$
F. All other answers are incorrect","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,B
"Consider the system of equations  $\boldsymbol{A} \boldsymbol{x}=\boldsymbol{b}$ where $\boldsymbol{A}=\left[\begin{array}{ccc}1 & 0 & -1 \\ 2 & 2 & 1 \\ 0 & 2 & 2\end{array}\right], \boldsymbol{b}=\left[\begin{array}{c}1 / 2 \\ 1 / 3 \\ -2 / 3\end{array}\right]$.
It is known that the system has a solution $\boldsymbol{x}=\left[\begin{array}{c}1 / 2 \\ -1 / 3 \\ 0\end{array}\right]$. If the right-hand side has a small perturbation $\|\boldsymbol{\delta} \boldsymbol{b}\|_{\infty}=\frac{1}{2} \times 10^{-6}$, estimate the resulting relative error in the solution.
Options:
A. $1.5000 \times 10^{-5}$
B. $1.6860 \times 10^{-5}$
C. All other answers are incorrect
D. $1.6950 \times 10^{-5}$
E. $1.6875 \times 10^{-5}$
F. $1.6700 \times 10^{-5}$","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,E
"A 25 mg sample of protease powder is dissolved to prepare a 25 ml solution. From this solution, 0.1 mg of the enzyme solution is taken, and the enzyme activity is measured using the Folin-phenol method with casein as the substrate. It is found that 1500 µg of tyrosine is produced per hour. Additionally, 2 ml of the enzyme solution is taken, and the protein nitrogen content is determined to be 0.2 mg using the Kjeldahl method. Assuming that the enzyme amount producing 1 µg of tyrosine per minute is defined as 1 unit of activity, calculate the total protein content and total activity of 1 g of the enzyme preparation based on the above data.
Options:
A. 0.650g, $2.7 \times 10^5$U
B. 0.625g, $2.5 \times 10^5$U
C. 0.640g, $2.6 \times 10^5$U
D. 0.610g, $2.3 \times 10^5$U
E. All other answers are incorrect
F. 0.615g, $2.45 \times 10^5$U","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,B
"Calculate the pH of the following solutions: (1) An equal-volume mixture of 0.1 mol/L Gly and 0.05 mol/L NaOH. (2) An equal-volume mixture of 0.1 mol/L Gly and 0.05 mol/L HCl.
Options:
A. 9.8, 2.41
B. 9.6, 2.34
C. 10.0, 2.29
D. 9.7, 2.28
E. 8.5, 2.35
F. All other answers are incorrect","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,B
"A pure enzyme contains $1.65 \%$ leucine and $2.48 \%$ isoleucine by mass. Calculate its minimum relative molecular mass (the relative molecular masses of leucine and isoleucine are both 131)
Options:
A. All other answers are incorrect
B. 13000
C. 14000
D. 13800
E. 13697
F. 13700","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,E
"There is 600 mg of an oligomeric protein with a molecular weight of 132,000 undergoing a reaction with 2,4-dinitrofluorobenzene under weakly alkaline conditions. After complete reaction and hydrolysis, 5.5 mg of DNP-isoleucine $\left(\mathrm{C}_{11} \mathrm{H}_{16} \mathrm{O}_6 \mathrm{~N}_3\right)$ is found. How many peptide chains does this protein have?
Options:
A. 4
B. 5
C. 2
D. 6
E. 8
F. All other answers are incorrect","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,A
"A researcher obtained a new wheat germplasm and measured the nitrogen content in its seeds, finding it to be $2.2 \%$. The researcher cloned a cDNA from the wheat seeds, and sequence analysis revealed that the coding region of the cDNA is 1230 bp in length. Calculate the minimum relative molecular mass of the protein encoded by the cDNA
Options:
A. 45000
B. All other answers are incorrect
C. 44850
D. 45300
E. 44650
F. 45100","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,F
"A polypeptide chain of a certain protein adopts an $\alpha$-helix conformation in some regions and a $\beta$-sheet conformation in others. The relative molecular weight of the protein is 240000, and the length of the polypeptide chain is $5.06 \times 10^{-5} \mathrm{~cm}$. Calculate the percentage of the molecule that is in the $\alpha$-helix conformation
Options:
A. All other answers are incorrect
B. 0.5
C. 0.485
D. 0.495
E. 0.478
F. 0.477","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,C
"A crude cell extract was obtained from the leaves of a plant, containing 32 mg of protein per milliliter. Under the extraction conditions, the catalytic reaction rate of 10 μl of the extract was 0.14 μmol/min. A 50 ml sample of the extract was subjected to ammonium sulfate fractionation, and the precipitate with a saturation of 0.3 to 0.6 was redissolved in 10 ml of water. The protein concentration of this solution was 50 mg/ml. From this solution, 10 μl was taken, and its reaction rate was measured to be 0.65 μmol/min. Calculate: (1) The percentage recovery of the enzyme during the extraction process; (2) The purification factor of the enzyme.
Options:
A. 91%, 2.9
B. All other answers are incorrect
C. 94%, 3.1
D. 93%, 3
E. 90%, 2.9
F. 89%, 2.7","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,D
"Bacillus subtilis protease (relative molecular mass 27600) is a bacterial protease capable of catalyzing the hydrolysis of certain amino acid esters and amides. For the synthetic substrate N-acetyl-L-tyrosine ethyl ester (Ac-Tyr-OEt), the $\mathrm{K}_{\mathrm{m}}$ and $\mathrm{K}_{\mathrm{cat}}$ of Bacillus subtilis protease are $0.15 \mathrm{~mol} / \mathrm{L}$ and $550 \mathrm{~s}^{-1}$, respectively. (1) Indole is a competitive inhibitor of Bacillus subtilis protease, with an inhibition constant $\mathrm{K}_{\mathrm{I}}$ of $0.05 \mathrm{~mol} / \mathrm{L}$. When the concentration of indole is $6.25 \mathrm{mmol} / \mathrm{L}$, calculate the $\mathrm{V}_{\text {max }}$ for the hydrolysis of $\mathrm{Ac}-\mathrm{Tyr}-\mathrm{OEt}$ by $0.40 \mathrm{~g} / \mathrm{L}$ Bacillus subtilis protease. (2) Calculate the initial velocity $\mathrm{V}_0$ when $0.40 \mathrm{~g} / \mathrm{L}$ Bacillus subtilis protease is incubated with $0.25 \mathrm{~mol} / \mathrm{L}$ $\mathrm{Ac}-\mathrm{Tyr}-\mathrm{OEt}$ and $1.0 \mathrm{~mol} / \mathrm{L}$ indole.
Options:
A. All other answers are incorrect
B. $8.0 \times 10^{-3} mol/(L·s)$ , $5.9 \times 10^{-4} mol/(L·s)$
C. $8.9 \times 10^{-3} mol/(L·s)$ , $5.7 \times 10^{-4} mol/(L·s)$
D. $8.2 \times 10^{-3} mol/(L·s)$ , $6.6 \times 10^{-4} mol/(L·s)$
E. $7.7 \times 10^{-3} mol/(L·s)$ , $7.1 \times 10^{-4} mol/(L·s)$
F. $7.8 \times 10^{-3} mol/(L·s)$ , $5.3 \times 10^{-4} mol/(L·s)$","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,B
"The $\mathrm{K}_{\mathrm{m}}$ of a certain enzyme is $24 \times 10^{-4} \mathrm{~mol} / \mathrm{L}$. When $[\mathrm{S}] = 0.05 \mathrm{~mol} / \mathrm{L}$, the measured $\mathrm{V}=128 \mu \mathrm{~mol} /(\mathrm{L} \cdot \mathrm{min})$. Calculate the initial velocity when the substrate concentration is $10^{-4} \mathrm{~mol} / \mathrm{L}$
Options:
A. $5.36 \mu \mathrm{~mol} /(\mathrm{L} \cdot \mathrm{min})$
B. $5.45 \mu \mathrm{~mol} /(\mathrm{L} \cdot \mathrm{min})$
C. $5.28 \mu \mathrm{~mol} /(\mathrm{L} \cdot \mathrm{min})$
D. All other answers are incorrect
E. $4.92 \mu \mathrm{~mol} /(\mathrm{L} \cdot \mathrm{min})$
F. $5.70 \mu \mathrm{~mol} /(\mathrm{L} \cdot \mathrm{min})$","Output your answers in the format:
\{{the final answer is boxed[answer]}} at the end of your response.
For instance, if there were 7 options and the answers were C, the output would be:
\{{the final answer is boxed[C]}}",multiple,A
